q,p,exact_width,envelope
0.2,0.382735,0.38326862930935884,0.4
0.2,0.38522999999999996,0.38398243064740123,0.4
0.2,0.387725,0.3846800711969102,0.4
0.2,0.39021999999999996,0.3853616051319095,0.4
0.2,0.392715,0.38602708528642593,0.4
0.2,0.39520999999999995,0.38667656316489385,0.4
0.2,0.397705,0.38731008895227315,0.4
0.2,0.4002,0.38792771152388633,0.4
0.2,0.40269499999999997,0.3885294784549779,0.4
0.2,0.40519,0.38911543602999726,0.4
0.2,0.40768499999999996,0.3896856292516136,0.4
0.2,0.41018,0.39024010184946,0.4
0.2,0.41267499999999996,0.3907788962886146,0.4
0.2,0.41517,0.3913020537778199,0.4
0.2,0.41766499999999995,0.3918096142774439,0.4
0.2,0.42016,0.39230161650718476,0.4
0.2,0.42265499999999995,0.39277809795352386,0.4
0.2,0.42515,0.3932390948769276,0.4
0.2,0.427645,0.3936846423188031,0.4
0.2,0.43013999999999997,0.3941147741082073,0.4
0.2,0.432635,0.3945295228683151,0.4
0.2,0.43512999999999996,0.394928920022646,0.4
0.2,0.437625,0.39531299580105406,0.4
0.2,0.44011999999999996,0.3956817792454802,0.4
0.2,0.442615,0.3960352982154729,0.4
0.2,0.44510999999999995,0.3963735793934749,0.4
0.2,0.447605,0.39669664828988216,0.4
0.2,0.45009999999999994,0.3970045292478725,0.4
0.2,0.45259499999999997,0.3972972454480096,0.4
0.2,0.45509,0.39757481891262086,0.4
0.2,0.45758499999999996,0.3978372705099535,0.4
0.2,0.46008,0.39808461995810684,0.4
0.2,0.46257499999999996,0.39831688582874636,0.4
0.2,0.46507,0.39853408555059733,0.4
0.2,0.46756499999999995,0.3987362354127207,0.4
0.2,0.47006,0.39892335056757283,0.4
0.2,0.47255499999999995,0.39909544503384936,0.4
0.2,0.47505,0.399252531699114,0.4
0.2,0.47754499999999994,0.39939462232221457,0.4
0.2,0.48003999999999997,0.3995217275354849,0.4
0.2,0.482535,0.3996338568467362,0.4
0.2,0.48502999999999996,0.3997310186410354,0.4
0.2,0.487525,0.3998132201822742,0.4
0.2,0.49001999999999996,0.39988046761452656,0.4
0.2,0.492515,0.399932765963198,0.4
0.2,0.49500999999999995,0.3999701191359635,0.4
0.2,0.497505,0.39999252992349865,0.4
