gamma,candidate_lower,baseline_upper,improvement_certificate
2.2800000000000002,0.4984126984126984,0.5015873015873016,-0.0031746031746031633
2.29,0.49788918205804744,0.5021108179419524,-0.004221635883905006
2.3,0.49736842105263157,0.5026315789473684,-0.0052631578947368585
2.31,0.4968503937007874,0.5031496062992127,-0.006299212598425308
2.3200000000000003,0.49633507853403136,0.5036649214659686,-0.00732984293193728
2.33,0.49582245430809396,0.504177545691906,-0.008355091383812019
2.34,0.4953125,0.5046875,-0.009374999999999967
2.35,0.4948051948051948,0.5051948051948052,-0.010389610389610393
2.3600000000000003,0.494300518134715,0.505699481865285,-0.011398963730570033
2.37,0.49379844961240305,0.506201550387597,-0.01240310077519391
2.38,0.4932989690721649,0.506701030927835,-0.013402061855670111
2.39,0.4928020565552699,0.5071979434447301,-0.014395886889460252
2.4000000000000004,0.4923076923076923,0.5076923076923078,-0.015384615384615496
2.41,0.4918158567774936,0.5081841432225065,-0.01636828644501287
2.42,0.49132653061224485,0.508673469387755,-0.01734693877551019
2.4299999999999997,0.4908396946564885,0.5091603053435114,-0.018320610687022898
2.44,0.4903553299492386,0.5096446700507614,-0.019289340101522834
2.45,0.48987341772151893,0.5101265822784811,-0.020253164556962133
2.46,0.4893939393939394,0.5106060606060606,-0.021212121212121238
2.4699999999999998,0.48891687657430727,0.5110831234256927,-0.022166246851385463
2.48,0.48844221105527635,0.5115577889447236,-0.023115577889447236
2.49,0.48796992481203005,0.51203007518797,-0.024060150375939893
2.5,0.48749999999999993,0.5125,-0.025000000000000022
2.51,0.4870324189526184,0.5129675810473815,-0.025935162094763098
2.52,0.48656716417910445,0.5134328358208955,-0.026865671641791045
2.5300000000000002,0.48610421836228285,0.5138957816377172,-0.02779156327543436
2.54,0.48564356435643563,0.5143564356435644,-0.02871287128712874
2.55,0.48518518518518516,0.5148148148148148,-0.029629629629629672
2.56,0.48472906403940885,0.5152709359605911,-0.030541871921182295
2.5700000000000003,0.48427518427518423,0.5157248157248158,-0.03144963144963153
2.58,0.48382352941176465,0.5161764705882352,-0.032352941176470584
2.59,0.4833740831295843,0.5166259168704157,-0.033251833740831405
2.6,0.48292682926829267,0.5170731707317073,-0.034146341463414664
2.6100000000000003,0.48248175182481745,0.5175182481751825,-0.0350364963503651
2.62,0.4820388349514563,0.5179611650485436,-0.03592233009708734
2.63,0.4815980629539951,0.5184019370460049,-0.0368038740920098
2.64,0.48115942028985503,0.518840579710145,-0.037681159420289934
2.6500000000000004,0.480722891566265,0.519277108433735,-0.03855421686746996
2.66,0.4802884615384615,0.5197115384615385,-0.039423076923077005
2.67,0.4798561151079136,0.5201438848920863,-0.0402877697841727
2.6799999999999997,0.4794258373205742,0.5205741626794258,-0.0411483253588516
2.69,0.4789976133651551,0.5210023866348449,-0.042004773269689766
2.7,0.47857142857142854,0.5214285714285714,-0.042857142857142816
2.71,0.47814726840855104,0.521852731591449,-0.04370546318289792
2.7199999999999998,0.47772511848341237,0.5222748815165876,-0.04454976303317526
2.73,0.47730496453900706,0.5226950354609929,-0.04539007092198588
2.74,0.47688679245283017,0.5231132075471698,-0.04622641509433967
2.75,0.4764705882352941,0.5235294117647059,-0.04705882352941182
2.76,0.47605633802816905,0.523943661971831,-0.04788732394366191
2.77,0.47564402810304446,0.5243559718969555,-0.04871194379391103
2.7800000000000002,0.475233644859813,0.5247663551401869,-0.04953271028037387
2.79,0.4748251748251748,0.5251748251748252,-0.05034965034965039
2.8,0.4744186046511628,0.5255813953488373,-0.05116279069767449
2.81,0.47401392111368906,0.5259860788863109,-0.05197215777262182
2.8200000000000003,0.4736111111111111,0.5263888888888889,-0.05277777777777781
2.83,0.4732101616628175,0.5267898383371825,-0.05357967667436503
2.84,0.4728110599078341,0.5271889400921659,-0.05437788018433176
2.85,0.4724137931034482,0.5275862068965518,-0.05517241379310356
2.8600000000000003,0.47201834862385317,0.5279816513761468,-0.055963302752293664
2.87,0.47162471395881,0.5283752860411899,-0.05675057208237988
2.88,0.4712328767123288,0.5287671232876713,-0.05753424657534251
2.89,0.4708428246013667,0.5291571753986333,-0.058314350797266545
2.9000000000000004,0.4704545454545454,0.5295454545454545,-0.05909090909090914
2.91,0.4700680272108843,0.5299319727891156,-0.059863945578231326
2.92,0.46968325791855203,0.530316742081448,-0.060633484162895934
2.9299999999999997,0.4693002257336343,0.5306997742663657,-0.06139954853273144
2.94,0.4689189189189189,0.5310810810810811,-0.06216216216216219
2.95,0.4685393258426966,0.5314606741573034,-0.06292134831460677
2.96,0.46816143497757845,0.5318385650224215,-0.0636771300448431
2.9699999999999998,0.4677852348993289,0.5322147651006712,-0.06442953020134234
2.98,0.4674107142857143,0.5325892857142858,-0.06517857142857147
2.99,0.46703786191536745,0.5329621380846326,-0.0659242761692651
3.0,0.4666666666666666,0.5333333333333333,-0.06666666666666671
3.0100000000000002,0.46629711751662967,0.5337028824833703,-0.06740576496674061
3.02,0.465929203539823,0.534070796460177,-0.06814159292035399
3.0300000000000002,0.4655629139072847,0.5344370860927152,-0.06887417218543052
3.04,0.46519823788546255,0.5348017621145374,-0.0696035242290749
3.05,0.46483516483516485,0.5351648351648353,-0.07032967032967041
3.06,0.46447368421052626,0.5355263157894736,-0.07105263157894737
3.07,0.4641137855579869,0.5358862144420131,-0.07177242888402624
3.08,0.46375545851528377,0.5362445414847161,-0.07248908296943235
3.09,0.46339869281045754,0.5366013071895426,-0.07320261437908504
3.1,0.46304347826086956,0.5369565217391304,-0.07391304347826089
3.11,0.46268980477223426,0.5373101952277657,-0.07462039045553143
3.12,0.46233766233766227,0.5376623376623377,-0.07532467532467546
3.13,0.46198704103671706,0.5380129589632829,-0.07602591792656588
3.14,0.4616379310344827,0.5383620689655173,-0.07672413793103461
3.15,0.4612903225806452,0.5387096774193549,-0.07741935483870976
3.16,0.46094420600858366,0.5390557939914163,-0.07811158798283269
3.17,0.46059957173447535,0.5394004282655247,-0.07880085653104935
3.18,0.4602564102564102,0.5397435897435898,-0.07948717948717965
3.19,0.4599147121535181,0.5400852878464819,-0.08017057569296382
3.2,0.4595744680851063,0.5404255319148936,-0.0808510638297873
3.21,0.4592356687898089,0.5407643312101911,-0.08152866242038215
3.22,0.4588983050847457,0.5411016949152543,-0.08220338983050857
3.23,0.4585623678646934,0.5414376321353066,-0.0828752642706132
3.24,0.45822784810126577,0.5417721518987342,-0.08354430379746841
3.25,0.45789473684210524,0.5421052631578948,-0.08421052631578951
3.2600000000000002,0.45756302521008396,0.542436974789916,-0.08487394957983208
3.27,0.45723270440251573,0.5427672955974843,-0.08553459119496853
3.2800000000000002,0.4569037656903765,0.5430962343096235,-0.08619246861924701
3.29,0.45657620041753655,0.5434237995824636,-0.08684759916492701
3.3000000000000003,0.45624999999999993,0.54375,-0.08750000000000002
3.31,0.4559251559251559,0.5440748440748442,-0.08814968814968827
3.32,0.45560165975103734,0.5443983402489627,-0.08879668049792538
3.33,0.45527950310559007,0.5447204968944099,-0.08944099378881987
3.34,0.45495867768595044,0.5450413223140496,-0.09008264462809912
3.35,0.45463917525773195,0.5453608247422681,-0.09072164948453615
3.36,0.45432098765432094,0.5456790123456791,-0.09135802469135812
3.37,0.4540041067761807,0.5459958932238194,-0.09199178644763867
3.38,0.45368852459016396,0.5463114754098362,-0.0926229508196722
3.39,0.45337423312883435,0.5466257668711657,-0.09325153374233136
3.4,0.4530612244897959,0.5469387755102042,-0.09387755102040829
3.41,0.4527494908350306,0.5472505091649695,-0.09450101832993896
3.42,0.45243902439024386,0.5475609756097561,-0.09512195121951228
3.43,0.45212981744421904,0.547870182555781,-0.09574036511156198
3.44,0.4518218623481781,0.5481781376518219,-0.09635627530364377
